2023/07/18	15:26:46	e0970099-d0f3-43c7-8f64-9d1616fe7809	log Event Emitted
2023/07/19	12:25:06	a1266217-99dc-445d-885a-d6b7a0fd8151	/	GET
2023/07/19	12:25:07	441f5cc5-2117-4b1c-be09-edf6beaf736b	/css/style.css	GET
2023/07/19	12:25:07	59380c74-5f48-4666-9cb1-1c8c98e148c3	/favicon.ico	GET
2023/07/19	12:25:16	bea33ab2-03d3-4b34-bb3a-6295b4364141	/data	GET
2023/07/19	12:25:16	3ec313fc-1376-40b5-a459-d910242e71df	/css/style.css	GET
2023/07/19	12:32:42	7baf1029-bef0-4ac6-8a2f-f6e887f33310	/indez	GET
2023/07/19	12:32:42	314c6ca8-dbb9-4af7-b901-76a45f39d3d4	/css/style.css	GET
2023/07/19	12:32:45	ba14bbf9-db62-4ce3-8333-4156d099d9da	/index	GET
2023/07/19	12:32:45	df0aad19-471d-4abf-9037-f3f21404ee58	/css/style.css	GET
2023/07/19	12:52:23	e236357d-4906-43a4-b871-7885fa18e8fd	/img	GET
2023/07/19	12:52:23	88e38fb3-0ae9-4730-9bec-aa3127625e98	/css/style.css	GET
2023/07/19	12:52:55	22f57974-0fba-4e67-9512-2c5dd69316b4	/img.jpeg	GET
2023/07/19	12:52:55	edcfb721-ccf8-4d41-9d10-bdd54cd2513d	/css/style.css	GET
2023/07/19	12:53:00	9b10b050-c411-45c3-b8cb-d1d0de5fcd9a	/img.jpg	GET
2023/07/19	12:53:00	e3796231-c29e-4962-8822-f63712d9796e	/css/style.css	GET
2023/07/19	12:53:06	e3e0f9e7-1326-4467-b147-aa3bb5acecb8	/jpg	GET
2023/07/19	12:53:06	7ea6afc0-7edc-4d4e-9c38-5f170fb89b58	/css/style.css	GET
2023/07/19	12:54:26	5c4f72ee-5c85-4b54-8895-12c66e1f3659	/new-page	GET
2023/07/19	12:54:26	f9cdd6a3-4c79-44c7-9b88-4f74f1cebd6a	/css/style.css	GET
2023/07/19	12:54:26	443b6b57-b4a8-4650-ba2e-6f52ea72ef28	/img/pexels-sergio-souza-5049154.jpg	GET
2023/07/19	12:54:55	c789601d-3f06-40c2-8599-ee92a3219e3b	/new-page	GET
2023/07/19	12:54:55	18a773d2-dbc7-4279-b09e-9d635f928437	/css/style.css	GET
2023/07/19	12:54:55	f7f3243d-6c26-4665-a6c2-01858eafe074	/img/pexels-sergio-souza-5049154.jpg	GET
2023/07/19	12:55:13	22593e41-d1f2-424c-9ec1-15aec7a3fc31	/new-page	GET
2023/07/19	12:55:13	4411e916-218f-4182-b5bb-11c5b61dc86a	/css/style.css	GET
2023/07/19	12:55:13	2013dc6d-ee7e-4fb6-a048-eb82fc1a6d64	/img/pexels-sergio-souza-5049154.jpg	GET
2023/08/22	14:30:21	f2e2e335-7bb8-4a45-a174-6a81273233c0	/	GET
2023/08/22	14:30:22	a77420f0-55d0-41ea-8b73-0a057937593f	/css/style.css	GET
2023/08/22	14:30:22	cfcfd819-84a2-468d-82e2-6e52a35dd522	/favicon.ico	GET
2023/08/22	15:50:08	5ef5e121-37e8-4fd7-8ed1-95f9588a74b2	/	GET
2023/08/22	15:50:09	433908a9-24f9-4eb7-8f3f-2e35d4777297	/css/style.css	GET
2023/08/22	15:50:20	68cd94a8-af2b-48ec-baa3-08dbdc4f9f1b	/new-page	GET
2023/08/22	15:50:20	5810915c-f0f0-4503-8e3c-ed0ac44e2fe9	/css/style.css	GET
2023/08/22	15:50:20	db3ff468-1249-4bf2-99a4-8894e252c04b	/img/pexels-sergio-souza-5049154.jpg	GET
2023/08/22	15:54:30	3e394412-73f7-40cd-8188-58afafca181f	/data	GET
2023/08/22	15:54:30	73ff09bb-c15e-4159-a87e-322a4ba03715	/css/style.css	GET
2023/08/22	15:55:39	059c5ae9-f9a5-4582-bd4b-d17efa068fde	/new-page	GET
2023/08/22	15:55:39	dfe294d8-aad8-4f5b-b86a-938181a9265c	/css/style.css	GET
2023/08/22	15:55:39	ccd61414-79b4-4fa0-a493-5fef5d3680fc	/img/pexels-sergio-souza-5049154.jpg	GET
2023/08/22	15:56:04	f5c4bf3d-8dd4-44b9-978d-5762e24a669d	/new-page	GET
2023/08/22	15:56:04	af455611-75d5-4684-aa8a-70b650a1642f	/css/style.css	GET
2023/08/22	15:56:04	56b7f245-b6d3-42da-8b0e-d022858de09f	/img/pexels-sergio-souza-5049154.jpg	GET
2023/08/22	15:59:38	f6e5e64b-c0c9-404a-9c25-08ac1f096aa4	/new-page	GET
2023/08/22	15:59:38	eb094036-0c66-41aa-a15b-71dc6e8de114	/css/style.css	GET
2023/08/22	15:59:38	d66aa27c-778e-4966-be3f-24adf393af57	/img/pexels-sergio-souza-5049154.jpg	GET
